make,model,variant,fuel_type,transmission,engine_cc,current_drivetrain,legacy_make,legacy_model,legacy_variant,legacy_drivetrain,match_method,match_confidence,recovery_status,reason
Hyundai,Creta,E Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,E Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX (O) Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Knight Petrol 1.5L Manual Knight Edition,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX (O) Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX (O) Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Petrol 1.5L Manual Dual Tone,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Knight Diesel 1.5L Turbo Manual Knight Edition,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Petrol 1.5L Manual Dual Tone,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Diesel 1.5L Turbo Automatic (TC),Diesel,Automatic (TC),1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L Manual Dual Tone,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Petrol 1.5L CVT Speed Automatic (CVT) Dual Tone,Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Diesel 1.5L Turbo Manual Dual Tone,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Knight Edition Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Diesel 1.5L Turbo Manual Dual Tone,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Diesel 1.5L Turbo Automatic (TC),Diesel,Automatic (TC),1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L Automatic (DCT),Petrol,Automatic (DCT),1482,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Diesel 1.5L Turbo Automatic (TC) Dual Tone,Diesel,Automatic (TC),1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L Turbo Automatic (DCT) Dual Tone,Petrol,Automatic (DCT),1482,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Mahindra,XUV 3XO,MX1 Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,REVX M Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,REVX M (O) Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX2 Pro Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX2 Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Pro Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX2 Pro Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX2 Pro Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX5 Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Pro Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Pro Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Diesel 1.5L Turbo Automatic (AMT),Diesel,Automatic (AMT),1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
