make,model,variant,full_name,body_type,price_ex_showroom,fuel_type,transmission,engine_cc,power_bhp,torque_nm,drivetrain,mileage_arai_kmpl,mileage_arai_km_per_kg,claimed_ev_range_km,seating_capacity,boot_space_litres,ground_clearance_mm,airbags,abs,esc,hill_assist,tyre_pressure_monitoring_system,rear_parking_sensors,rear_camera,camera_360,automatic_climate_control,rear_ac_vents,android_auto,apple_carplay,sunroof,ventilated_front_seats,connected_car_features,adas_available,source,source_last_updated
Hyundai,Creta,E Petrol 1.5L Manual,Hyundai Creta E Petrol 1.5L Manual,SUV,1090700,Petrol,Manual,1497,113.0,143.8,FWD,17.4,,,5.0,,190,6,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,CarWale,2026-06-19T12:29:07.581350+00:00
Hyundai,Creta,EX Petrol 1.5L Manual,Hyundai Creta EX Petrol 1.5L Manual,SUV,1206700,Petrol,Manual,1497,113.0,143.8,FWD,17.4,,,5.0,,190,6,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,CarWale,2026-06-19T12:29:07.581816+00:00
Hyundai,Creta,E Diesel 1.5L Turbo Manual,Hyundai Creta E Diesel 1.5L Turbo Manual,SUV,1252800,Diesel,Manual,1493,114.0,250.0,FWD,21.8,,,5.0,,190,6,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,CarWale,2026-06-19T12:29:07.581953+00:00
Hyundai,Creta,EX (O) Petrol 1.5L Manual,Hyundai Creta EX (O) Petrol 1.5L Manual,SUV,1314200,Petrol,Manual,1497,113.0,143.8,FWD,17.4,,,5.0,,190,6,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,CarWale,2026-06-19T12:29:07.582159+00:00
Hyundai,Creta,EX Diesel 1.5L Turbo Manual,Hyundai Creta EX Diesel 1.5L Turbo Manual,SUV,1365700,Diesel,Manual,1493,114.0,250.0,FWD,21.8,,,5.0,,190,6,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,CarWale,2026-06-19T12:29:07.582362+00:00
Hyundai,Creta,S (O) Petrol 1.5L Manual,Hyundai Creta S (O) Petrol 1.5L Manual,SUV,1420700,Petrol,Manual,1497,113.0,143.8,FWD,17.4,,,5.0,,190,6,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,CarWale,2026-06-19T12:29:07.582563+00:00
Hyundai,Creta,S (O) Knight Petrol 1.5L Manual Knight Edition,Hyundai Creta S (O) Knight Petrol 1.5L Manual Knight Edition,SUV,1439200,Petrol,Manual,1497,113.0,143.8,FWD,17.4,,,5.0,,190,6,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,CarWale,2026-06-19T12:29:07.582764+00:00
Hyundai,Creta,EX (O) Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta EX (O) Petrol 1.5L CVT Speed Automatic (CVT),SUV,1449700,Petrol,Automatic (CVT),1497,113.0,143.8,FWD,17.7,,,5.0,,190,6,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,CarWale,2026-06-19T12:29:07.582964+00:00
Hyundai,Creta,EX (O) Diesel 1.5L Turbo Manual,Hyundai Creta EX (O) Diesel 1.5L Turbo Manual,SUV,1473200,Diesel,Manual,1493,114.0,250.0,FWD,21.8,,,5.0,,190,6,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,CarWale,2026-06-19T12:29:07.583164+00:00
Hyundai,Creta,SX Petrol 1.5L Manual,Hyundai Creta SX Petrol 1.5L Manual,SUV,1504400,Petrol,Manual,1497,113.0,143.8,FWD,17.4,,,5.0,,190,6,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,CarWale,2026-06-19T12:29:07.583367+00:00
