make,model,variant,action,field,new_value,source,source_last_updated,notes
Hyundai,Verna,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
Kia,Seltos,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
Mahindra,Scorpio-N / Scorpio Classic,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
Mahindra,XUV 7XO,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
Maruti Suzuki,Baleno,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
Maruti Suzuki,Dzire,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
Maruti Suzuki,Brezza,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
MG,Hector,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
Tata,Harrier,*,DROP_VARIANT,,,bounded_refresh_layer,2026-06-22,Drop obsolete legacy generation before adding compact current lineup.
Hyundai,Verna,EX 1.5 Petrol MT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1096900,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,S 1.5 Petrol MT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1209900,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
