make,model,variant,full_name,model_year,body_type,segment,generation,facelift_status,discontinued,price_ex_showroom,price_on_road,price_city,currency,fuel_type,engine_cc,cylinders,turbocharged,power_bhp,torque_nm,drivetrain,transmission,gearbox_speeds,acceleration_0_100_seconds,top_speed_kmph,mileage_arai_kmpl,mileage_arai_km_per_kg,mileage_real_world_kmpl,fuel_tank_capacity_litres,battery_capacity_kwh,claimed_ev_range_km,charging_time_ac_hours,charging_time_dc_minutes,seating_capacity,boot_space_litres,ground_clearance_mm,length_mm,width_mm,height_mm,wheelbase_mm,kerb_weight_kg,turning_radius_metres,airbags,abs,ebd,esc,traction_control,hill_assist,hill_descent_control,tyre_pressure_monitoring_system,rear_parking_sensors,front_parking_sensors,rear_camera,camera_360,adas_available,adaptive_cruise_control,lane_keep_assist,lane_departure_warning,automatic_emergency_braking,blind_spot_monitoring,crash_test_rating,crash_test_agency,sunroof,panoramic_sunroof,automatic_climate_control,cruise_control,ventilated_front_seats,powered_driver_seat,powered_front_seats,rear_ac_vents,keyless_entry,push_button_start,wireless_charging,infotainment_screen_inches,android_auto,apple_carplay,connected_car_features,standard_warranty_years,standard_warranty_km,service_interval_km,service_interval_months,estimated_annual_service_cost,reliability_score,resale_value_score,service_network_score,source,source_url,source_last_updated,scraped_at,scrape_run_id,field_completeness_score
Hyundai,Creta,E Petrol 1.5L Manual,Hyundai Creta E Petrol 1.5L Manual,,SUV,,,,,1090700,,,,Petrol,1497,,False,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,False,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/e-petrol-15l-manual/,,2026-06-19T12:29:07.581350+00:00,a9d57e5f-e928-4a4b-a609-1a19af49f0be,26.37
Hyundai,Creta,EX Petrol 1.5L Manual,Hyundai Creta EX Petrol 1.5L Manual,,SUV,,,,,1206700,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/ex-petrol-15l-manual/,,2026-06-19T12:29:07.581816+00:00,d6c7d1ac-bacb-429a-bcc1-fdd9c364d510,25.27
Hyundai,Creta,E Diesel 1.5L Turbo Manual,Hyundai Creta E Diesel 1.5L Turbo Manual,,SUV,,,,,1252800,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,False,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/e-diesel-15l-turbo-manual/,,2026-06-19T12:29:07.581953+00:00,84a1dbba-2e41-449c-95ba-2bde6b3474a5,25.27
Hyundai,Creta,EX (O) Petrol 1.5L Manual,Hyundai Creta EX (O) Petrol 1.5L Manual,,SUV,,,,,1314200,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/ex-o-petrol-15l-manual/,,2026-06-19T12:29:07.582159+00:00,8872d59a-5942-4b71-9ef0-538dd12a2e84,25.27
Hyundai,Creta,EX Diesel 1.5L Turbo Manual,Hyundai Creta EX Diesel 1.5L Turbo Manual,,SUV,,,,,1365700,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/ex-diesel-15l-turbo-manual/,,2026-06-19T12:29:07.582362+00:00,fc68e79b-2016-4c18-b49c-6b1202ff62ea,25.27
Hyundai,Creta,S (O) Petrol 1.5L Manual,Hyundai Creta S (O) Petrol 1.5L Manual,,SUV,,,,,1420700,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/s-o-petrol-15l-manual/,,2026-06-19T12:29:07.582563+00:00,4873d443-e342-4411-80cc-836644d1fb57,25.27
Hyundai,Creta,S (O) Knight Petrol 1.5L Manual Knight Edition,Hyundai Creta S (O) Knight Petrol 1.5L Manual Knight Edition,,SUV,,,,,1439200,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/s-o-knight-petrol-15l-manual-knight-edition/,,2026-06-19T12:29:07.582764+00:00,189584a1-3e22-493a-8f73-b12ec003f850,25.27
Hyundai,Creta,EX (O) Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta EX (O) Petrol 1.5L CVT Speed Automatic (CVT),,SUV,,,,,1449700,,,,Petrol,1497,,,113.0,143.8,,Automatic (CVT),,,,17.7,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/ex-o-petrol-15l-cvt-speed-automatic-cvt/,,2026-06-19T12:29:07.582964+00:00,ff8363f5-1244-4e83-80ab-f8b4dc506807,25.27
Hyundai,Creta,EX (O) Diesel 1.5L Turbo Manual,Hyundai Creta EX (O) Diesel 1.5L Turbo Manual,,SUV,,,,,1473200,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/ex-o-diesel-15l-turbo-manual/,,2026-06-19T12:29:07.583164+00:00,a2466852-02db-486a-8d97-0358042b1daf,25.27
Hyundai,Creta,SX Petrol 1.5L Manual,Hyundai Creta SX Petrol 1.5L Manual,,SUV,,,,,1504400,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/sx-petrol-15l-manual/,,2026-06-19T12:29:07.583367+00:00,f9f9fc06-5a8e-461b-8877-9ef88d617eb8,25.27
Hyundai,Creta,SX Petrol 1.5L Manual Dual Tone,Hyundai Creta SX Petrol 1.5L Manual Dual Tone,,SUV,,,,,1519400,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/sx-petrol-15l-manual-dual-tone/,,2026-06-19T12:29:07.583568+00:00,cc730f2b-00fb-4ece-9de1-12ae718abfe0,25.27
Hyundai,Creta,S (O) Petrol 1.5L CVT Speed Automatic (CVT),Hyundai Creta S (O) Petrol 1.5L CVT Speed Automatic (CVT),,SUV,,,,,1565700,,,,Petrol,1497,,,113.0,143.8,,Automatic (CVT),,,,17.7,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/s-o-petrol-15l-cvt-speed-automatic-cvt/,,2026-06-19T12:29:07.583768+00:00,49653d28-bd02-4f53-80e6-d26d669f0dc8,25.27
Hyundai,Creta,S (O) Diesel 1.5L Turbo Manual,Hyundai Creta S (O) Diesel 1.5L Turbo Manual,,SUV,,,,,1584700,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/s-o-diesel-15l-turbo-manual/,,2026-06-19T12:29:07.583965+00:00,7e2326a2-93d6-498e-96ff-ee2a014c3182,25.27
Hyundai,Creta,S (O) Knight Diesel 1.5L Turbo Manual Knight Edition,Hyundai Creta S (O) Knight Diesel 1.5L Turbo Manual Knight Edition,,SUV,,,,,1603200,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/s-o-knight-diesel-15l-turbo-manual-knight-edition/,,2026-06-19T12:29:07.584166+00:00,c6936df0-b77d-454a-9d06-51d8b16923de,25.27
Hyundai,Creta,SX Premium Petrol 1.5L Manual,Hyundai Creta SX Premium Petrol 1.5L Manual,,SUV,,,,,1634200,,,,Petrol,1497,,,113.0,143.8,,Manual,,,,17.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/sx-premium-petrol-15l-manual/,,2026-06-19T12:29:07.584393+00:00,51cf0b34-9336-4485-984e-79e99ab6761e,25.27
